dimPhysicianPK,ProviderNpi,ProviderName,SpecialityCode,ProviderFTE
215178,187717990,Dr. Vazquez,22,0.8
215181,187706706,Dr. Bartlett,37,0.6
215182,187707486,Dr. Rocha,8,1
215183,187701012,Dr. Sherman,37,0.2
215184,187700102,Dr. Baker,86,0.65
215188,187704158,Dr. Whitaker,30,1
215189,187700700,Dr. Townsend,30,0.95
215191,187724152,Dr. Castillo,30,0.37
215192,187708058,Dr. Boyle,16,0.19
215193,187709098,Dr. Benton,37,0.45
215195,187702312,Dr. Cain,8,1
215197,187716300,Dr. Mcconnell,2,0.85
215198,187713336,Dr. Fernandez,11,1
215199,187702780,Dr. Bray,11,1
215202,187719550,Dr. Liu,2,0.41
215203,187712686,Dr. Gonzalez,25,0.36
215207,187714480,Dr. Delgado,30,0.85
215210,187718250,Dr. Salazar,68,0.25
215216,187715208,Dr. Barrera,16,0.67
215217,187722644,Dr. Chaney,11,0.45
215218,187700362,Dr. Walton,93,1
215220,187721890,Dr. Harrington,37,0.95
215226,187712010,Dr. Travis,11,0.9
215227,187702910,Dr. Estrada,30,1
215230,187711542,Dr. Lyons,11,0.96
215231,187718562,Dr. Barr,93,1
215233,187713310,Dr. Walter,36,0.85
215234,187701558,Dr. Hays,30,0.95
215236,187716430,Dr. Phelps,8,1
215239,187703898,Dr. Woodard,37,0.2
215242,187723918,Dr. Vincent,86,1
215243,187701194,Dr. Conley,8,1
215244,187710684,Dr. Cisneros,18,0.45
215246,187712192,Dr. Massey,11,0.57
215247,187701948,Dr. York,8,0.58
215248,187719680,Dr. Sims,68,0.41
215250,187714688,Dr. Boone,11,0.6
215251,187713076,Dr. Mckenzie,8,1
215252,187711334,Dr. Fitzpatrick,11,0.42
215254,187705094,Dr. Rodriguez,77,1
215258,187704366,Dr. Beck,30,1
215261,187700518,Dr. Page,37,0.95
215266,187715442,Dr. Ryan,11,0.93
215267,187704028,Dr. Quinn,11,0.61
215269,187702416,Dr. Carpenter,16,0.86
215275,187718380,Dr. Norman,8,1
215276,187721630,Dr. Mccarty,93,1
215278,187711490,Dr. Castaneda,30,0.65
215280,187705068,Dr. Villegas,93,1
215281,187715962,Dr. Hardin,11,0.9
215282,187702104,Dr. Woods,11,1
215283,187718354,Dr. Melton,11,0.62
215285,187700934,Dr. Stuart,37,0.19
215288,187720200,Dr. Cunningham,30,0.95
215289,187712218,Dr. Palmer,8,1
215290,187715182,Dr. Gates,18,0.28
215291,187706602,Dr. Boyer,8,0.8
215294,187709306,Dr. Stanton,11,0.8
215295,187700024,Dr. Snow,37,1
215307,187708084,Dr. Lynn,11,0.7
215309,187701116,Dr. Woodward,8,0.75
215310,187701922,Dr. Orr,8,1
215311,187709176,Dr. Serrano,8,1
215315,187711048,Dr. Kidd,22,0.15
215319,187704418,Dr. Bullock,11,0.15
215320,187702624,Dr. Sparks,11,0.5
215324,187706628,Dr. Lewis,11,0.55
215325,187701038,Dr. Barry,20,0.02
215326,187709410,Dr. Carlson,11,0.44
215327,187722618,Dr. Esparza,30,0.34
215328,187710762,Dr. Guzman,2,1
215331,187719784,Dr. Olson,11,0.9
215332,187712608,Dr. Villanueva,11,1
215338,187713206,Dr. Holland,30,1
215339,187722800,Dr. Pineda,86,0.5
215340,187706212,Dr. Sexton,30,0.9
215342,187712322,Dr. Arias,93,1
215344,187717548,Dr. Drake,30,0.8
215345,187706238,Dr. Sloan,30,0.95
215349,187705328,Dr. Brown,8,0.9
215350,187701090,Dr. Elliott,2,1
215352,187713544,Dr. Trujillo,11,0.3
215355,187715676,Dr. Cross,11,1
215358,187722930,Dr. Olsen,11,0.97
215365,187707694,Dr. Stephens,93,1
215367,187723060,Dr. Armstrong,8,0.62
215369,187718328,Dr. Bass,11,0.75
215371,187710138,Dr. Decker,11,0.95
215373,187706420,Dr. Miles,11,0.72
215374,187707278,Dr. Noble,93,1
215376,187723736,Dr. Mayo,11,1
215380,187701818,Dr. Ayala,8,0.2
215381,187718770,Dr. Shelton,8,1
215389,187704652,Dr. Schwartz,86,0.75
215391,187705042,Dr. Valdez,11,0.52
215395,187723138,Dr. Duke,22,0.75
215398,187707408,Dr. Tate,8,0.7
215399,187723814,Dr. Parks,2,1
215400,187722072,Dr. Clay,30,1
215401,187720538,Dr. Young,93,1
215404,187716690,Dr. Mcguire,25,0.65
215409,187703404,Dr. Kline,11,0.96
215411,187716768,Dr. Cooke,30,1
215413,187723476,Dr. Collier,8,1
215417,187701246,Dr. Benitez,30,0.8
215419,187710736,Dr. Underwood,37,1
215420,187706186,Dr. Richmond,36,1
215421,187723190,Dr. Ibarra,20,0.19
215423,187703586,Dr. Carr,93,1
215424,187702936,Dr. Hawkins,28,0.5
215426,187720876,Dr. Bright,8,0.27
215427,187701506,Dr. Gordon,16,0.8
215431,187710970,Dr. Sutton,30,0.85
215436,187706056,Dr. Kane,11,0.82
215437,187706030,Dr. Rivas,11,0.93
215443,187722176,Dr. Morris,20,0.8
215444,187722384,Dr. Ballard,8,0.5
215445,187715936,Dr. Cook,11,1
215446,187710164,Dr. Nelson,30,0.76
215447,187709930,Dr. Mclean,93,1
215450,187707018,Dr. Kelley,11,0.82
215461,187712166,Dr. Allen,8,0.5
215464,187716898,Dr. Montoya,22,0.8
215465,187699972,Dr. Cannon,11,0.95
215466,187717002,Dr. Savage,8,0.6
215471,187709514,Dr. Curtis,11,0.9
215474,187711958,Dr. Russo,93,0.6
215477,187713856,Dr. Rhodes,14,1
215485,187712868,Dr. Glenn,11,1
215489,187703092,Dr. Landry,8,0.5
215490,187720122,Dr. Butler,30,0.9
215491,187709020,Dr. Sheppard,8,0.15
215505,187714272,Dr. Simmons,8,0.49
215506,187722722,Dr. Stewart,C6,1
215508,187713986,Dr. Goodman,11,0.12
215516,187720824,Dr. Roman,11,0.25
215517,187723944,Dr. Lloyd,30,0.6
215518,187718146,Dr. Tanner,8,1
215519,187702078,Dr. Meyer,30,0.9
215521,187716404,Dr. Levy,8,1
215522,187722878,Dr. Wilson,30,0.58
215525,187711516,Dr. Roberson,93,0.4
215527,187711204,Dr. Hines,93,0.73
215529,187707876,Dr. Peterson,11,1
215533,187701350,Dr. Mooney,8,1
215534,187709254,Dr. Anthony,11,1
215540,187712712,Dr. Stevens,93,0.4
215542,187707148,Dr. Bell,30,0.95
215543,187707512,Dr. Kent,11,1
215544,187709722,Dr. Vaughan,36,0.95
215545,187722098,Dr. Harvey,11,1
215546,187714636,Dr. Cobb,16,0.85
215547,187716014,Dr. Figueroa,37,0.9
215548,187718614,Dr. Rodgers,8,1
215550,187720564,Dr. Scott,86,0.11
215551,187700258,Dr. Copeland,8,1
215555,187705562,Dr. Mccormick,11,1
215557,187708812,Dr. Winters,30,0.95
215558,187721552,Dr. Houston,16,1
215561,187719992,Dr. Zimmerman,11,1
215563,187722540,Dr. Mcclure,77,0.2
215566,187707070,Dr. Lane,28,0.41
215568,187717912,Dr. Norton,37,1
215572,187705848,Dr. Dean,11,1
215573,187715520,Dr. Thompson,30,1
215576,187700128,Dr. Church,41,0.95
215579,187699894,Dr. Rosales,86,1
215590,187721526,Dr. Lambert,30,0.25
215595,187701610,Dr. Crane,37,0.75
215597,187706498,Dr. Blanchard,11,0.68
215598,187706940,Dr. Griffin,11,1
215603,187722254,Dr. Blake,8,1
215605,187702208,Dr. Vaughn,33,1
215611,187705588,Dr. Alexander,16,0.7
215612,187713622,Dr. Black,20,1
215614,187713596,Dr. Li,30,0.85
215615,187705016,Dr. Mcknight,8,0.9
215617,187707538,Dr. Shaw,11,1
215619,187711646,Dr. Pittman,11,0.95
215625,187716378,Dr. Gaines,2,0.8
215626,187704444,Dr. Mckay,11,0.97
215628,187713258,Dr. Henson,22,0.5
215631,187718094,Dr. Davis,8,0.8
215633,187721240,Dr. Hunter,25,0.95
215634,187718588,Dr. Wood,30,0.9
215637,187714974,Dr. Potts,8,1
215641,187702156,Dr. Guerrero,37,1
215642,187703118,Dr. Reese,16,0.28
215643,187716248,Dr. Huynh,30,1
215646,187707772,Dr. Lam,11,0.87
215653,187717704,Dr. Hooper,30,0.57
215655,187721318,Dr. Fischer,30,0.06
215656,187700414,Dr. Gibson,11,0.85
215659,187704288,Dr. Bautista,37,1
215664,187723840,Dr. Zavala,8,1
215670,187713154,Dr. Luna,8,0.8
215672,187711672,Dr. Mann,30,0.85
215674,187714870,Dr. Glass,11,0.8
215679,187708474,Dr. Wilkinson,30,0.95
215680,187705900,Dr. Kennedy,11,1
215683,187720746,Dr. Cline,36,0.95
215686,187721916,Dr. Jordan,11,0.6
215688,187715910,Dr. Bradshaw,11,0.5
215691,187708240,Dr. Kaiser,11,1
215692,187714922,Dr. Byrd,11,0.66
215693,187704106,Dr. Levine,11,0.9
215697,187713024,Dr. Proctor,11,0.68
215698,187709462,Dr. Becker,11,0.9
215699,187721110,Dr. Fowler,16,0.85
215701,187722280,Dr. Mason,93,1
215702,187706992,Dr. Roach,86,0.13
215703,187722462,Dr. Wilcox,30,0.95
215705,187722358,Dr. Fox,93,0.52
215706,187703378,Dr. Mays,22,0.1
215708,187709618,Dr. Powers,30,0.6
215709,187700986,Dr. Perry,2,0.85
215710,187718666,Dr. Burns,11,0.75
215711,187720772,Dr. West,37,0.9
215713,187720460,Dr. Velazquez,16,0.72
215714,187712998,Dr. Avery,37,0.7
215717,187708552,Dr. Bentley,93,1
215720,187705250,Dr. Sweeney,11,0.85
215722,187703066,Dr. Ross,11,0.93
215725,187716560,Dr. Reilly,11,0.5
215726,187709696,Dr. Lester,93,0.95
215730,187705432,Dr. Steele,8,0.9
215732,187717288,Dr. Wagner,8,0.6
215733,187708734,Dr. Hoover,8,0.8
215738,187711802,Dr. Day,11,0.94
215739,187720408,Dr. Wise,8,0.6
215741,187712738,Dr. Thomas,8,0.9
215746,187700466,Dr. Cowan,7,0.65
215748,187715078,Dr. Bond,8,1
215751,187710450,Dr. James,93,1
215757,187719030,Dr. Espinoza,11,0.4
215764,187702260,Dr. Bean,8,1
215765,187720278,Dr. Berger,37,0.67
215767,187717600,Dr. Mathews,30,0.65
215769,187723450,Dr. Moon,41,0.12
215770,187703040,Dr. Vargas,8,0.69
215772,187708318,Dr. Craig,11,1
215779,187703846,Dr. Graham,37,1
215780,187718978,Dr. Howe,11,1
215781,187711724,Dr. Hale,8,0.5
215782,187710008,Dr. Spears,93,1
215783,187721968,Dr. Solis,16,0.5
215787,187708630,Dr. Case,8,0.9
215788,187715988,Dr. Caldwell,86,0.97
215790,187715468,Dr. Briggs,2,0.41
215791,187706836,Dr. Meadows,93,1
215794,187705692,Dr. Walls,93,1
215795,187714220,Dr. Romero,25,0.32
215797,187708136,Dr. Solomon,22,0.8
215798,187704392,Dr. Jacobson,22,0.55
215799,187700492,Dr. Cruz,30,1
215802,187700856,Dr. Gutierrez,11,0.15
215804,187723398,Dr. Pacheco,8,0.3
215805,187717470,Dr. Singh,20,0.93
215812,187709800,Dr. Giles,16,1
215815,187721500,Dr. Crawford,16,0.6
215820,187704782,Dr. Hubbard,11,0.93
215823,187704574,Dr. Calhoun,11,0.17
215825,187715728,Dr. Martinez,22,0.95
215826,187701896,Dr. Cardenas,5,0.1
215827,187708890,Dr. Ellis,20,0.6
215828,187700804,Dr. Dickerson,93,1
215834,187701740,Dr. Ferguson,37,0.75
215836,187710086,Dr. Kelly,11,0.5
215837,187720018,Dr. Kerr,8,1
215838,187721474,Dr. Potter,2,1
215841,187707668,Dr. Reeves,11,0.97
215843,187700310,Dr. Larson,11,0.7
215845,187703456,Dr. Haas,8,0.9
215848,187723294,Dr. Parker,37,1
215853,187704626,Dr. Bolton,22,0.6
215855,187715052,Dr. Summers,22,0.5
215858,187704860,Dr. Fleming,11,0.9
215859,187702884,Dr. Ramos,11,0.82
215860,187700830,Dr. Vang,11,0.2
215861,187702182,Dr. Lowe,22,0.05
215862,187719472,Dr. Donaldson,37,1
215867,187713518,Dr. Benjamin,8,1
215871,187703976,Dr. Mata,11,0.8
215875,187702494,Dr. Welch,30,0.8
215876,187721292,Dr. Pope,11,1
215878,187718016,Dr. Macdonald,30,0.66
215879,187707564,Dr. Torres,11,0.8
215881,187712530,Dr. Randall,8,0.9
215887,187708968,Dr. Richards,30,0.76
215889,187706394,Dr. Acevedo,77,0.55
215891,187706680,Dr. Knox,86,0.45
215892,187708110,Dr. Green,11,0.16
215893,187712296,Dr. Gould,11,0.7
215895,187705770,Dr. Mccall,8,0.6
215896,187722566,Dr. Montes,11,0.93
215897,187715104,Dr. Brewer,11,1
215898,187704262,Dr. Preston,37,1
215900,187711126,Dr. Booker,8,0.7
215903,187706862,Dr. Warner,8,1
215904,187710242,Dr. Rosario,11,0.45
215905,187718926,Dr. Krause,11,1
215909,187705406,Dr. Lee,11,0.2
215910,187710424,Dr. Morales,93,1
215913,187711594,Dr. Holden,22,0.55
215915,187724282,Dr. Gallegos,22,0.65
215917,187724074,Dr. Schneider,86,0.73
215918,187713934,Dr. Ho,16,0.95
215920,187723996,Dr. Wang,25,0.5
215921,187712660,Dr. Baxter,30,1
215925,187724178,Dr. Walters,11,1
215926,187702052,Dr. Archer,11,0.07
215928,187711620,Dr. Maddox,8,0.7
215931,187702728,Dr. Forbes,11,0.2
215935,187702026,Dr. Cervantes,37,0.95
215941,187722774,Dr. Sandoval,86,0.93
215943,187707252,Dr. Newman,8,0.17
215944,187720356,Dr. Mcneil,4,0.14
215945,187715832,Dr. Ali,11,1
215950,187713674,Dr. Rose,2,1
215952,187713908,Dr. Lin,93,1
215953,187722124,Dr. Shepherd,37,0.7
215955,187703482,Dr. Sampson,8,0.8
215957,187710554,Dr. Sanchez,11,0.85
215959,187704678,Dr. Peck,11,0.67
215963,187712244,Dr. Lucero,37,0.9
215966,187714584,Dr. Gilmore,11,1
215967,187710996,Dr. Haley,37,0.24
215968,187704236,Dr. Nichols,11,0.8
215974,187713960,Dr. Delacruz,11,1
215975,187709358,Dr. English,11,0.25
215982,187702806,Dr. Clark,11,1
215988,187714194,Dr. Ware,8,0.8
215989,187708994,Dr. Berg,37,1
215990,187704990,Dr. Pruitt,8,0.75
215991,187717574,Dr. Sullivan,30,0.9
215992,187721396,Dr. Crosby,11,0.93
215993,187703716,Dr. Padilla,30,0.95
215995,187723112,Dr. Randolph,30,0.71
215997,187704548,Dr. Reid,8,0.25
215999,187718120,Dr. Stanley,11,0.55
216000,187716846,Dr. Moreno,11,0.55
216002,187706810,Dr. Jensen,86,0.83
216003,187712920,Dr. Finley,30,0.95
216006,187719498,Dr. Barber,11,1
216007,187715754,Dr. King,11,0.8
216009,187707226,Dr. Mercer,8,1
216013,187715858,Dr. Morton,77,0.3
216015,187716196,Dr. Matthews,30,1
216017,187720382,Dr. Benson,11,1
216019,187700752,Dr. Huang,11,0.65
216021,187714428,Dr. Smith,11,0.5
216022,187707330,Dr. Stone,11,0.6
216026,187699998,Dr. Parrish,11,0.58
216027,187721994,Dr. Mora,37,0.8
216036,187721786,Dr. Wade,22,0.95
216038,187723788,Dr. Hendrix,11,1
216039,187707590,Dr. Cantu,8,1
216040,187710398,Dr. Frost,11,0.98
216044,187705536,Dr. Andersen,86,0.7
216046,187710112,Dr. Gardner,11,1
216050,187709670,Dr. Gonzales,37,0.3
216052,187722748,Dr. Stark,11,0.05
216053,187701584,Dr. Dodson,11,1
216063,187700076,Dr. Alvarado,8,0.4
216064,187708578,Dr. Conrad,11,0.5
216065,187704522,Dr. Flynn,77,1
216068,187700284,Dr. Franco,11,1
216069,187707824,Dr. Christian,8,0.01
216070,187717054,Dr. Valenzuela,11,0.5
216072,187723658,Dr. Hayden,22,0.66
216075,187699920,Dr. Maynard,2,0.85
216076,187708526,Dr. Weiss,22,0.8
216082,187716222,Dr. Barker,30,0.76
216083,187721032,Dr. Yang,30,0.9
216085,187706368,Dr. Hutchinson,11,1
216086,187708006,Dr. Anderson,2,1
216088,187712894,Dr. Hart,2,1
216099,187715000,Dr. Shepard,8,1
216100,187706732,Dr. Payne,86,1
216102,187700778,Dr. George,11,0.85
216104,187705458,Dr. Cabrera,11,0.3
216106,187700206,Dr. Arroyo,8,0.7
216108,187702234,Dr. Richard,11,1
216109,187712556,Dr. Estes,11,0.75
216111,187717808,Dr. Leonard,33,0.9
216112,187704886,Dr. Spence,8,1
216116,187705302,Dr. Flowers,11,1
216117,187703430,Dr. Herman,2,0.21
216119,187716040,Dr. Blackburn,11,0.29
216123,187719368,Dr. Mcclain,8,0.55
216126,187709566,Dr. Lang,8,0.5
216129,187713570,Dr. Watson,11,0.54
216133,187719238,Dr. Harding,11,1
216134,187703170,Dr. Middleton,8,0.9
216135,187715312,Dr. Brennan,30,0.75
216136,187703144,Dr. Rubio,16,0.3
216140,187723034,Dr. Campbell,30,0.95
216141,187710268,Dr. Duran,11,1
216142,187713440,Dr. Chase,8,1
216145,187721370,Dr. Ortiz,77,0.2
216146,187716924,Dr. Yu,11,0.57
216150,187717340,Dr. Cox,20,1
216158,187708916,Dr. Greene,37,0.5
216161,187723606,Dr. Skinner,11,1
216162,187720226,Dr. Weber,30,1
216167,187721656,Dr. Brandt,93,1
216168,187721084,Dr. Murillo,16,1
216170,187700440,Dr. Clarke,33,0.9
216172,187701844,Dr. Webb,11,0.68
216173,187721136,Dr. Browning,8,1
216178,187723372,Dr. Garza,11,0.9
216181,187707798,Dr. Rush,37,0.9
216184,187708760,Dr. Harrell,93,1
216185,187707746,Dr. Blackwell,11,1
216186,187714844,Dr. Rios,11,0.8
216187,187715286,Dr. Velasquez,16,0.9
216188,187705666,Dr. Wong,30,0.95
216189,187713284,Dr. Bridges,16,0.8
216190,187720096,Dr. Deleon,11,0.5
216191,187719160,Dr. Wright,8,0.5
216193,187703638,Dr. Ruiz,8,0.6
216194,187701324,Dr. Walsh,20,0.28
216197,187703768,Dr. Riggs,22,0.95
216202,187713882,Dr. Shaffer,11,1
216203,187713726,Dr. Davenport,8,1
216206,187700960,Dr. Silva,8,1
216212,187724100,Dr. Gray,30,1
216213,187717236,Dr. Marks,30,1
216215,187722982,Dr. Orozco,8,0.55
216219,187716092,Dr. Humphrey,37,1
216223,187723164,Dr. Golden,37,1
216225,187705120,Dr. Terry,11,0.22
216227,187712140,Dr. Gillespie,11,0.58
216228,187713362,Dr. Hill,11,0.72
216232,187722436,Dr. Stout,30,0.95
216233,187710632,Dr. Cuevas,30,0.35
216235,187714792,Dr. Bailey,8,1
216238,187716586,Dr. Pace,11,0.6
216242,187710944,Dr. Mathis,8,1
216246,187704808,Dr. Hampton,68,0.26
216247,187720616,Dr. Werner,16,0.97
216248,187706004,Dr. Mendez,16,0.8
216250,187720512,Dr. Wilkerson,11,0.93
216255,187716170,Dr. Holloway,37,1
216258,187702546,Dr. Jenkins,37,1
216260,187705718,Dr. Hess,16,0.46
216261,187702962,Dr. Singleton,2,0.8
216262,187713388,Dr. Bryan,34,1
216265,187715884,Dr. Collins,30,0.45
216266,187706888,Dr. Patton,11,0.5
216268,187719264,Dr. Burch,11,0.95
216269,187717392,Dr. Farmer,11,1
216274,187715702,Dr. Swanson,11,0.9
216278,187702000,Dr. Shields,8,1
216281,187720330,Dr. Oneal,C6,1
216283,187716742,Dr. Carney,8,0.75
216284,187705510,Dr. Meza,37,0.86
216286,187710476,Dr. Osborn,16,0.95
216288,187701454,Dr. Dawson,11,1
216289,187721864,Dr. Hahn,30,0.76
216290,187707954,Dr. Stevenson,22,0.7
216292,187710866,Dr. Farley,8,0.8
216295,187714246,Dr. Berry,11,0.8
216301,187712504,Dr. Ward,11,0.8
216306,187718640,Dr. Duncan,11,1
216308,187715338,Dr. Andrews,22,0.75
216311,187714012,Dr. Maldonado,11,0.71
216312,187710190,Dr. Good,20,0.9
216317,187717314,Dr. May,11,1
216318,187701402,Dr. Mcdaniel,8,1
216321,187718302,Dr. Cochran,22,1
216322,187719524,Dr. Frey,11,0.2
216324,187720252,Dr. Hammond,16,0.88
216326,187718874,Dr. Wallace,11,1
216334,187719134,Dr. Moses,2,1
216336,187716638,Dr. Lozano,16,0.67
216338,187722514,Dr. Lara,16,0.85
216340,187711438,Dr. Heath,30,0.9
216345,187711022,Dr. Mcintyre,86,0.53
216347,187700726,Dr. Arellano,30,0.9
216349,187701792,Dr. Hancock,8,1
216350,187712634,Dr. Hayes,37,1
216351,187709384,Dr. Osborne,30,0.18
216352,187717210,Dr. Dudley,11,0.92
216353,187714558,Dr. Nunez,93,0.81
216354,187701428,Dr. Grant,37,0.3
216360,187723710,Dr. Buckley,22,0.95
216368,187717496,Dr. Cortez,30,0.9
216374,187720902,Dr. Chan,8,1
216377,187711074,Dr. Goodwin,93,1
216378,187721760,Dr. Odom,22,0.65
216382,187710060,Dr. Fitzgerald,30,0.7
216383,187719654,Dr. Joseph,11,0.95
216389,187702390,Dr. Schroeder,11,0.25
216390,187718458,Dr. Contreras,8,0.5
216391,187712270,Dr. Ford,11,0.56
216397,187703872,Dr. Koch,30,1
216398,187715650,Dr. Knapp,11,0.27
216399,187704080,Dr. Barnes,16,1
216402,187721266,Dr. Jackson,8,1
216405,187717782,Dr. Mitchell,77,0.73
216407,187707902,Dr. Alvarez,8,1
216408,187706160,Dr. Blevins,8,1
216412,187717184,Dr. Hendricks,25,0
